X,Y,Handelaar,Info,Productinf,Periode,Openingsur,Thuisverko,icon_url
3.33983505713433,51.2501245652152,Desender,"Wim desender - Nancy Dombrecht<div>Algonquinstraat 1</div><div>Moerkerke</div><div><br /></div><div>050 50 17 10</div><div><a href=""mailto:desender.wim@skynet.be"" target=""_self"">desender.wim@skynet.be</a><br /></div>",Honing,Heel het jaar beschikbaar.,Maandag tot en met vrijdag: 17.30 - 20.00 uur<div>Zaterdag: 9.00 - 12.00 uur</div>,Honing,./2.png
3.28609785698538,51.2252221551609,Bonne Veekweker - Beenhouwer,Marc Bonne<div>Moerkerkesteenweg 3A</div><div>Vivenkapelle</div><div><br /></div><div>050 37 39 12</div><div>info@slagerijbonne.be</div><div>www.slagerijbonne.be</div>,"Vers vlees en artisanale charcuterie van dieren van eigen kweek: hertenkalf, rund, varken, kip, konijn enz.<div>Specialiteit streekproduct: Uilenspiegelpaté</div>",Kleinverkoop in de slagerij op de hoeve heel het jaar op vrijdag en zaterdag.,Elke vrijdag en zaterdag: 8.00 - 18.00 uur,Vlees,./3.png
3.31494914020198,51.2489414242466,Hof Van Arzele,Danny Deblauwe<div>Masschersheule 1</div><div>Damme</div><div><br /></div><div>050 50 14 03</div>,Rund- en varkensvlees.,Beschikbaar op bestelling.,Na afspraak.,Vlees,./3.png
3.34673401122521,51.2379879049403,Natuurvlees Dobbelaere,Rudy Dobbelaere<div>Tarwerentestraat 2</div><div>Moerkerke</div>,,Heel het jaar beschikbaar,Woensdag tot en met zaterdag: 8.30 - 18.00 uur<div>Zondag: 8.30 - 13.00 uur</div>,Vlees,./3.png
3.33795872839285,51.2003085573715,Hoeveslagerij Rik Van Haverbeke,"Rik Van Haverbeke<div>Schardauwstraat 5</div><div>Sijsele</div><div><br /></div><div>050 35 40 52</div><div><a href=""mailto:rikvanhaverbeke@telenet.be"" target=""_self"">rikvanhaverbeke@telenet.be</a><br /></div>",Varkens- rund- en lamsvlees<div>Alle hoeveelheden mogelijk</div><div>Specialiteit: 1/2 varken en 1/8 rund</div><div>Verzorgen van barbecues en tuinfeesten</div>,Heel het jaar beschikbaar.,"Bestelling steeds op afspraak.<div>Aan het werk in de hoeveslagerij op donderdag, vrijdag en zaterdag.</div>",Vlees,./3.png
3.31873273070438,51.2340367104663,Beukenhoeve,"Edwin Versteghe - Cindy Tanghe<div>Weststraat 65B</div><div>Vivenkapelle</div><div><br /></div><div>050 50 01 79</div><div><a href=""mailto:versteghe-tanghe@skynet.be"" target=""_self"">versteghe-tanghe@skynet.be</a><br /></div>","Melk, boter, karnemelk, pudding, rijstpudding, yoghurt, platte kaas, eieren, roomijs en ijstaarten, honing, chocomousse ...",,"Dinsdag, donderdag, vrijdag en zaterdag: 9.00 - 11.45 uur en 13.30 - 18.00 uur<div><br /></div><div>Bij mooi fietsweer de zondagnamiddag open voor een lekker ijsje.</div>",Zuivel,./4.png
3.29695620170555,51.2314995616186,De Ijshoeve,Patrick Danneels<div>Oude Damseweg 2A</div><div>Vivenkapelle</div><div><br /></div><div>050 37 39 87</div><div>info@deijshoeve.be</div><div>www.deijshoeve.be</div>,"Roomijs, yoghurt, platte kaas, boter, room, melk,rijstpap, dessertje, chocomousse, chocopasta, tiramisu, truffels, bavarois, Vivense wafeltjes, pannenkoeken, oma's koekjestaart",,"April - September:<div>Di, wo, do, vr: 13.30 - 18.00 uur<div>Za: 10.30 - 12.00 uur en 13.30 - 18.00 uur</div><div>Zo: 13.30 - 18.00 uur</div></div>",Zuivel,./4.png
3.3582751175476,51.2870053914558,Hof Ter Caleshoek,"Willy Tilleman - Christine Turrekens<div>Kaleshoek 1</div><div>Lapscheure</div><div><br /></div><div>050 50 03 41</div><div><a href=""mailto:willy.tilleman@telenet.be"" target=""_self"">willy.tilleman@telenet.be</a><br /></div>","Boter, yoghurt, platte kaas, chocomousse, roomijs<div>Aardappelen, ajuin</div>","Ajuin, beschikbaar van september tot mei.<div>De andere producten zijn heel het jaar beschikbaar.</div>",Alle dagen: 8.00 - 20.00 uur,Zuivel,./4.png
3.35961750310802,51.2705811579997,Karthuizerinnenhof,"Danny Sallet<div>Sint-Pietersdijk 4</div><div>Lapscheure</div><div><br /></div><div>050 50 02 55</div><div><a href=""mailto:danny.sallet@skynet.be"" target=""_self"">danny.sallet@skynet.be</a><br /></div>","Boter, melk en karnemelk<div>Aardappelen en ajuin</div>",Heel het jaar beschikbaar,Maandag en donderdag: 9.30 - 18.30 uur,Zuivel,./4.png
3.34063911126568,51.2458268896112,De Kasteelhoeve,"Joeri De Vlamynck<div>Kasteelstraat 6</div><div>Moerkerke</div><div><br /></div><div>050 78 29 82</div><div><a href=""mailto:joeri.de.vlamynck@telenet.be"" target=""_self"">joeri.de.vlamynck@telenet.be</a><br /></div>","Producten gemaakt met melk afkomstig van de hoeve Stefaan Cocquyt (Moerkerke): boter, yoghurt, platte kaas, pudding, rijstpap, choco, chocomousse, kaas- en garnaalkroketten.",Heel het jaar beschikbaar,"Woensdag, vrijdag enzaterdag: 15.00 - 19.00 uur<div>Zondag: 7.00 - 12.00 uur</div>",Zuivel,./4.png
3.37354164616733,51.2387499534649,Leestjeshoeve,"Rik en Marleen De Leyn<div>Leestjesstraat 2</div><div>Moerkerke</div><div><br /></div><div>050 50 05 63</div><div><a href=""mailto:rik.de.leyn@telenet.be"" target=""_self"">rik.de.leyn@telenet.be</a><br /></div>","Boter, melk, karnemelk, room, rijstpap (2 soorten), yoghurt (diverse soorten), platte kaas met en zonder fruit, chocomousse, roomkaas.",Heel het jaar beschikbaar.<div>Room is enkel op bestelling</div>,Alle dagen vaanf 9 uur<div>Vrijdag: gesloten</div>,Zuivel,./4.png
3.33161480759449,51.2354928424,Familie van Loo,,,,,Groenten en fruit,./1.png
